idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo925,geo850,nieve,geo700
4195E,-4.394988,2026-04-10T01:00:00+0000,0.0,651.0,4.0,1.9,17.0,39.32091,72.0,ALCORNOQUERA  PARQUE NACIONAL CABAÑEROS,47.0,16.0,16.8,17.8,941.5,0.7,,1015.7,5.5,,11.0,,,,,,,,,,,,,,,,,
4220X,-4.622035,2026-04-10T01:00:00+0000,0.0,531.48,4.2,1.8,138.0,39.083623,147.0,PUEBLA DE DON RODRIGO,39.0,17.6,17.9,18.5,954.0,0.4,,1014.9,3.8,,21.0,,,,,,,,,,,,,,,,,
4236Y,-5.026459,2026-04-10T01:00:00+0000,0.0,689.04,9.8,6.6,98.0,39.450439,102.0,PUERTO DEL REY,34.0,18.4,18.5,18.7,,,,,,,,,,,,,,,,,,,,,,,,
4244X,-5.062271,2026-04-10T01:00:00+0000,0.0,447.0,4.8,2.2,104.0,39.169355,83.0,HERRERA DEL DUQUE,32.0,19.5,19.5,20.6,963.0,0.4,12.7,1014.2,2.3,20.0,11.0,0.0,14.5,,,,,,0.0,,,,,,,,,
4245X,-5.333333,2026-04-10T01:00:00+0000,0.0,660.0,6.1,1.4,88.0,39.455271,72.0,GUADALUPE (AUTOMATICA),36.0,17.5,18.5,18.6,,,,,,,,,,,,,,,,,,,,,,,,
4260,-5.577502,2026-04-10T01:00:00+0000,0.0,542.0,6.6,0.9,65.0,38.479719,60.0,PERALEDA DEL ZAUCEJO,63.0,15.1,15.1,16.0,,,,,,,,,,,,,,,,,,,,,,,,
4267X,-5.121442,2026-04-10T01:00:00+0000,0.0,551.0,4.8,2.9,96.0,38.498369,110.0,HINOJOSA DEL DUQUE,64.0,13.7,14.1,15.2,950.2,,,1013.9,7.4,,,,,,,118.0,,,,,,,,,,,,
4300Y,-4.845277,2026-04-10T01:00:00+0000,0.0,535.0,6.0,2.2,92.0,38.775284,90.0,MINAS DE ALMADÉN,40.0,16.6,16.8,17.5,,,,,,,,,,,,,,,,,,,,,,,,
4325Y,-5.529083,2026-04-10T01:00:00+0000,0.0,459.0,7.5,6.4,97.0,38.741813,92.0,CASTUERA,48.0,15.8,16.3,17.0,,,,,,,,,,,,,,,,,,,,,,,,
4339X,-5.369009,2026-04-10T01:00:00+0000,0.0,590.0,6.5,3.2,72.0,39.314167,80.0,CAÑAMERO  EL PINAR,40.0,18.2,18.2,18.7,,,,,,,,,,,,,,,,,,,,,,,,
4340,-5.461334,2026-04-10T01:00:00+0000,0.0,313.0,4.8,2.8,125.0,39.103459,150.0,NAVALVILLAR DE PELA,49.0,15.7,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,
4347X,-5.710276,2026-04-10T01:00:00+0000,0.0,413.0,10.3,6.4,61.0,39.282781,70.0,ZORITA,31.0,21.1,21.1,21.6,,,,,,,,,,,,,,,,,,,,,,,,
4358X,-5.880481,2026-04-10T01:00:00+0000,0.0,273.0,4.3,0.8,68.0,38.95559,73.0,DON BENITO,47.0,18.2,18.2,19.1,981.5,0.4,17.2,1013.2,6.7,20.0,22.0,0.0,19.2,,,,,,0.0,,,,,,,,,
4362X,-5.845813,2026-04-10T01:00:00+0000,0.0,474.1,5.5,3.0,127.0,38.576493,107.0,RETAMAL DE LLERENA ,50.0,16.1,17.2,17.2,,,,,,,,,,,,,,,,,,,,,,,,
4386B,-6.017048,2026-04-10T01:00:00+0000,0.0,655.0,5.3,3.6,239.0,38.231708,237.0,LLERENA,84.0,12.5,12.5,13.9,939.2,0.4,14.1,1014.8,9.9,20.0,6.0,0.0,12.0,,,,,,0.0,,,,,,,,,
4395X,-6.306664,2026-04-10T01:00:00+0000,0.0,430.0,4.3,0.6,190.0,38.551667,200.0,VILLAFRANCA DE LOS BARROS,82.0,13.5,13.5,13.8,,,,,,,,,,,,,,,,,,,,,,,,
4410X,-6.385632,2026-04-10T01:00:00+0000,0.0,228.0,5.2,3.1,72.0,38.915884,70.0,MÉRIDA,52.0,18.5,18.5,18.9,986.9,0.5,,1013.4,8.4,,12.0,,,,,,,,,,,,,,,,,
4411C,-6.231012,2026-04-10T01:00:00+0000,0.0,467.0,14.2,6.7,103.0,39.197636,102.0,ALCUESCAR,19.0,22.0,22.0,22.7,,,,,,,,,,,,,,,,,,,,,,,,
4427X,-6.436641,2026-04-10T01:00:00+0000,0.0,433.0,3.6,1.4,35.0,38.425855,335.0,ZAFRA (AUTOMATICA),86.0,12.8,12.8,14.4,,,,,,,,,,,,,,,,,,,,,,,,
4436Y,-6.361046,2026-04-10T01:00:00+0000,0.0,371.0,3.8,2.2,327.0,38.688902,260.0,ALMENDRALEJO,76.0,14.4,14.5,16.7,,,,,,,,,,,,,,,,,,,,,,,,
4442X,-6.6275,2026-04-10T01:00:00+0000,0.0,345.0,4.0,1.4,192.0,38.618611,247.0,SANTA MARTA DE LOS BARROS,75.0,14.6,15.4,15.5,,,,,,,,,,,,,,,,,,,,,,,,
4452,-6.81389,2026-04-10T01:00:00+0000,0.0,185.5,5.2,1.7,201.0,38.883396,185.0,BADAJOZ/TALAVERA LA REAL,78.0,14.9,15.3,15.5,992.0,0.6,14.8,1013.9,11.4,,25.0,0.0,15.9,,,,,,0.0,,,,,18.6,,,,
4464X,-6.995182,2026-04-10T01:00:00+0000,0.0,283.0,5.5,2.1,93.0,39.181934,62.0,ALBURQUERQUE,45.0,20.3,20.6,20.6,,,,,,,,,,,,,,,,,,,,,,,,
4468X,-6.600769,2026-04-10T01:00:00+0000,0.0,392.0,7.5,5.3,109.0,39.176623,117.0,PUEBLA DE OBANDO (AUTOMATICA),31.0,20.0,20.8,20.8,,,,,,,,,,,,,,,,,,,,,,,,
4478X,-7.00948,2026-04-10T01:00:00+0000,0.0,173.7,2.8,0.8,9.0,38.886205,190.0,BADAJOZ UNIVERSIDAD,86.0,13.9,13.9,14.8,,,,,,,,,,,,,,,,,,,,,,,,
4486X,-7.084439,2026-04-10T01:00:00+0000,0.0,275.0,9.7,4.0,192.0,38.697503,205.0,OLIVENZA,78.0,14.8,14.8,15.3,,,,,,,,,,,,,,,,,,,,,,,,
4489X,-7.28194,2026-04-10T01:00:00+0000,0.0,170.0,5.0,2.2,164.0,38.484719,195.0,ALCONCHEL (AUTOMATICA),86.0,14.0,14.0,14.7,,,,,,,,,,,,,,,,,,,,,,,,
4492F,-6.923333,2026-04-10T01:00:00+0000,0.0,377.0,5.4,1.2,215.0,38.472778,190.0,EVC_BARCARROTA,70.0,14.2,14.2,14.5,970.9,,,,,,,,,,,,,,,,,,,,,,,
4497X,-7.158056,2026-04-10T01:00:00+0000,0.0,247.0,2.9,0.9,202.0,38.372219,212.0,VILLANUEVA DEL FRESNO,83.0,13.3,13.3,13.7,,,,,,,,,,,,,,,,,,,,,,,,
4499X,-6.271862,2026-04-10T01:00:00+0000,0.0,771.0,4.7,2.0,261.0,38.081296,252.0,MONESTERIO (AUTOMATICA),81.0,12.2,12.2,12.8,,,,,,,,,,,,,,,,,,,,,,,,
4501X,-6.311317,2026-04-10T01:00:00+0000,0.0,602.0,4.7,2.7,219.0,38.20874,235.0,FUENTE DE CANTOS,87.0,11.3,11.3,11.8,,,,,,,,,,,,,,,,,,,,,,,,
4511C,-6.765058,2026-04-10T01:00:00+0000,0.0,381.0,5.3,2.0,270.0,38.298514,271.0,JEREZ DE LOS CABALLEROS,81.0,13.0,13.0,13.5,969.9,0.3,13.4,1014.6,9.8,20.0,8.0,0.0,17.9,,,,,,0.0,,,,,,,,,
4520X,-6.661793,2026-04-10T01:00:00+0000,0.0,586.0,5.1,0.8,204.0,38.178438,287.0,FREGENAL DE LA SIERRA,79.0,12.6,12.6,13.0,,,,,,,,,,,,,,,,,,,,,,,,
4527X,-6.975941,2026-04-10T01:00:00+0000,0.0,267.0,1.5,0.8,90.0,37.980282,37.0,AROCHE (MASERA - AUTOMATICA),96.0,10.6,10.6,10.9,,,,,,,,,,,,,,,,,,,,,,,,
4541X,-7.51994,2026-04-10T01:00:00+0000,0.0,60.0,,,,37.553656,,EL GRANADO (BOCACHANZA - AUTOMÁTICA),85.0,14.0,14.0,14.5,,,,,,,,,,,,,,,,,,,,,,,,
4549Y,-7.394971,2026-04-10T01:00:00+0000,0.0,2.63,3.9,0.8,260.0,37.194607,180.0,AYAMONTE  ISLA CANELA,78.0,14.7,14.7,15.6,1013.8,,,1014.3,10.9,,,,,,,36.0,,,,,,,,,,,,
4554X,-7.08361,2026-04-10T01:00:00+0000,0.0,15.0,3.3,1.4,48.0,37.218334,70.0,CARTAYA   PEMARES ,90.0,13.4,13.4,13.8,,,,,,,,,,,,,,,,,,,,,,,,
4560Y,-6.674999,2026-04-10T01:00:00+0000,0.0,572.0,6.0,1.1,243.0,37.868615,304.0,ALAJAR  CABEZO MOLINOS,81.0,11.6,12.4,13.4,948.1,0.4,14.4,,,,53.0,0.0,17.0,,,,,,,,,,,,,,,
4575X,-6.767767,2026-04-10T01:00:00+0000,0.0,280.4,,,,37.575348,,VALVERDE CAMINO (CH.GUADIANA AUTOMATICA),76.0,14.2,14.3,14.5,,,,,,,,,,,,,,,,,,,,,,,,
4584X,-6.942237,2026-04-10T01:00:00+0000,0.0,270.0,,,,37.731577,,EL CERRO DE ANDEVALO,72.0,14.4,14.6,14.6,,,,,,,,,,,,,,,,,,,,,,,,
4589X,-7.11944,2026-04-10T01:00:00+0000,0.0,276.0,2.0,0.5,295.0,37.597782,325.0,ALOSNO  THARSIS-MINAS ,79.0,14.0,14.1,14.3,,,,,,,,,,,,,,,,,,,,,,,,
4608X,-6.630003,2026-04-10T01:00:00+0000,0.0,415.0,2.4,0.9,348.0,37.677226,342.0,EL CAMPILLO  EL ZUMAJO ,83.0,12.5,12.5,12.6,,,,,,,,,,,,,,,,,,,,,,,,
4622X,-6.636671,2026-04-10T01:00:00+0000,0.0,145.0,2.7,1.3,13.0,37.450835,10.0,VILLARRASA  PLANTA DE RECICLAJE,79.0,13.9,13.9,14.5,,,,,,,,,,,,,,,,,,,,,,,,
4642E,-6.911696,2026-04-10T01:00:00+0000,0.0,17.59,3.1,1.5,26.0,37.278412,55.0,HUELVA  RONDA ESTE,91.0,13.9,13.9,14.3,1011.6,0.3,13.2,1013.9,12.4,17.2,11.0,0.0,18.3,,,,,,0.0,,,,,19.4,,,,
5000C,-5.346967,2026-04-10T01:00:00+0000,0.0,87.0,1.9,0.7,256.0,35.888727,218.0,CEUTA,88.0,13.8,14.0,14.1,1003.4,0.3,11.9,1014.0,12.0,9.9,62.0,0.0,17.2,,,,,,0.0,,,,,18.0,,,,
5038Y,-3.003891,2026-04-10T01:00:00+0000,0.0,799.0,,,,37.915837,,CAZORLA (AUTOMATICA),24.0,20.5,21.2,21.2,,,,,,,,,,,,,,,,,,,,,,,,
5047E,-2.734995,2026-04-10T01:00:00+0000,0.0,785.0,6.0,2.6,114.0,37.505829,161.0,BAZA  CRUZ ROJA,33.0,15.3,15.7,15.8,928.0,0.7,12.6,,-0.5,16.1,19.0,0.0,13.7,,,,,,0.0,,,,,,812.4,,,
5051X,-2.652778,2026-04-10T01:00:00+0000,0.0,1100.5,5.2,1.5,8.0,37.861389,351.0,HUÉSCAR,23.0,15.7,15.8,16.4,894.9,0.5,17.0,,,20.0,23.0,0.0,13.2,,,,,,0.0,,,,,,,,,
5060X,-2.228056,2026-04-10T01:00:00+0000,0.0,1190.0,,,,37.860832,,TOPARES,44.0,10.9,10.9,11.6,,,,,,,,,,,,,,,,,,,,,,,,
5103E,-3.256944,2026-04-10T01:00:00+0000,,2151.69,14.0,1.9,306.0,37.158333,132.0,CAMARATE 2  PARQUE NACIONAL SIERRA NEVADA,49.0,7.2,7.6,10.5,788.0,1.1,,,,,83.0,,,,,,,,,,,,,,,,,
5103F,-3.254022,2026-04-10T01:00:00+0000,,1534.04,4.6,2.0,227.0,37.191027,233.0,CAMARATE  PARQUE NACIONAL SIERRA NEVADA,42.0,11.3,12.4,12.4,848.5,0.8,,1015.8,-0.3,,36.0,,,,,,,,,,,,,,,,,
5107D,-2.986406,2026-04-10T01:00:00+0000,0.0,1197.0,18.1,9.2,114.0,37.179936,105.0,DÓLAR,36.0,16.7,16.7,18.0,,,,,,,,,,,,,,,,,,,,,,,,
5112X,-3.129722,2026-04-10T01:00:00+0000,0.0,916.5,9.6,2.0,121.0,37.311944,130.0,GUADIX,27.0,16.9,17.2,17.2,,,,,,,,,,,,,,,,,,,,,,,,
5164B,-3.461951,2026-04-10T01:00:00+0000,0.0,771.0,10.5,3.0,133.0,37.996668,140.0,BAEZA,29.0,18.2,18.4,18.5,,,,,,,,,,,,,,,,,,,,,,,,
5165X,-3.563581,2026-04-10T01:00:00+0000,0.0,910.0,,,,37.780842,,TORRES,27.0,20.3,20.4,20.6,,,,,,,,,,,,,,,,,,,,,,,,
5181D,-2.889764,2026-04-10T01:00:00+0000,0.0,580.0,,,,38.314753,,ARROYO DEL OJANCO,33.0,18.3,18.3,20.9,,,,,,,,,,,,0.0,,,,,,,,,,,,
5192,-2.637568,2026-04-10T01:00:00+0000,0.0,862.0,17.1,10.1,100.0,38.489252,95.0,VILLARRODRIGO,15.0,19.9,20.3,20.4,,2.4,19.9,,,20.0,11.0,0.0,17.8,,,,,,0.0,,,,,,,,,
5210X,-2.998059,2026-04-10T01:00:00+0000,0.0,680.0,4.1,0.8,86.0,38.175001,147.0,VILLANUEVA DEL ARZOBISPO,35.0,17.2,17.3,17.8,,,,,,,,,,,,,,,,,,,,,,,,
5270B,-3.809167,2026-04-10T01:00:00+0000,0.0,580.0,11.4,5.8,147.0,37.7775,140.0,JAÉN,21.0,21.1,21.4,21.6,947.5,1.7,20.6,1013.1,-2.0,20.0,17.0,0.0,16.7,,,,,,0.0,,,,,16.9,,,,
5279X,-3.629453,2026-04-10T01:00:00+0000,0.0,515.0,3.6,1.2,83.0,38.151107,117.0,LINARES (VOR - AUTOMATICA),30.0,19.3,19.6,19.9,,,,,,,,,,,,,,,,,,,,,,,,
5281X,-3.782624,2026-04-10T01:00:00+0000,0.0,345.0,10.3,3.3,57.0,38.092984,27.0,BAILÉN,33.0,19.9,20.1,20.2,,,,,,,,,,,,,,,,,,,,,,,,
5298X,-4.063333,2026-04-10T01:00:00+0000,0.0,202.0,3.9,2.6,291.0,38.023054,288.0,ANDÚJAR,88.0,14.6,15.1,17.7,990.4,0.4,,1014.2,13.2,,10.0,,,,,,,,,,,,,,,,,
5304Y,-4.059165,2026-04-10T01:00:00+0000,0.0,665.0,4.3,1.6,107.0,38.668889,77.0,PUERTOLLANO,38.0,16.6,16.6,17.5,,,,,,,,,,,,,,,,,,,,,,,,
5341C,-4.301663,2026-04-10T01:00:00+0000,0.0,710.0,3.6,0.7,37.0,38.428888,72.0,FUENCALIENTE,57.0,13.7,13.7,15.2,,,,,,,,,,,,,,,,,,,,,,,,
5346X,-4.272506,2026-04-10T01:00:00+0000,0.0,720.0,,,,38.186671,,CARDEÑA (SANTA ELENA - AUTOMATICA),42.0,16.3,16.3,17.0,,,,,,,,,,,,,,,,,,,,,,,,
5361X,-4.330275,2026-04-10T01:00:00+0000,0.0,155.0,2.7,1.0,342.0,38.01333,335.0,MONTORO VEGA ARMIJO,88.0,15.3,15.3,15.4,,,,,,,,,,,,,,,,,,,,,,,,
5394X,-4.796664,2026-04-10T01:00:00+0000,0.0,525.0,1.9,1.1,237.0,38.020835,222.0,CORDOBA  EMBALSE DE GUADANUÑO,95.0,11.7,11.7,12.5,,,,,,,,,,,,,,,,,,,,,,,,
5402,-4.846558,2026-04-10T01:00:00+0000,0.0,90.0,2.6,0.1,270.0,37.848891,290.0,CÓRDOBA/AEROPUERTO,93.0,13.3,13.5,13.8,1003.7,0.1,12.9,1014.7,12.4,,38.0,0.0,,,,,,,,,,,,,,,,
5406X,-3.908059,2026-04-10T01:00:00+0000,0.0,908.0,15.2,5.2,96.0,37.497489,110.0,CHARILLA,32.0,19.2,19.2,19.5,,,,,,,,,,,,,,,,,,,,,,,,
5412X,-4.207785,2026-04-10T01:00:00+0000,0.0,550.0,3.3,1.4,272.0,37.484728,85.0,PRIEGO DE CÓRDOBA  SAN FELIX,85.0,14.0,14.0,15.1,,,,,,,,,,,,,,,,,,,,,,,,
5427X,-4.353893,2026-04-10T01:00:00+0000,0.0,650.0,,,,37.556113,,DOÑA MENCIA,99.0,12.9,12.9,13.2,,,,,,,,,,,,,,,,,,,,,,,,
5429X,-4.462227,2026-04-10T01:00:00+0000,0.0,275.0,3.7,1.9,208.0,37.810392,205.0,CÓRDOBA  PRAGDENA,92.0,14.1,14.1,14.6,,,,,,,,,,,,,,,,,,,,,,,,
5459X,-4.928728,2026-04-10T01:00:00+0000,0.0,465.0,2.0,0.4,187.0,38.111111,145.0,ESPIEL-C.TÉRMICA,90.0,11.9,12.6,12.6,,,,,,,,,,,,,,,,,,,,,,,,
5470,-5.100552,2026-04-10T01:00:00+0000,0.0,120.0,2.3,1.2,153.0,37.753056,162.0,FUENTE PALMERA-LOS ARROYONES,91.0,13.7,13.7,14.4,,,,,,,,,,,,,,,,,,,,,,,,
5473X,-5.686015,2026-04-10T01:00:00+0000,0.0,581.0,3.1,1.3,139.0,38.267805,130.0,AZUAGA (AUTOMATICA),71.0,15.1,15.1,16.0,,,,,,,,,,,,,,,,,,,,,,,,
5514Z,-3.633331,2026-04-10T01:00:00+0000,0.0,695.0,4.8,3.5,271.0,37.136107,281.0,GRANADA/BASE AÉREA,36.0,0.7,17.4,18.3,934.8,0.6,12.3,1013.6,2.1,19.0,16.0,0.0,,,,,,,0.0,,,,,,,,,
5515X,-3.59555,2026-04-10T01:00:00+0000,0.0,775.0,7.5,0.7,111.0,37.18972,47.0,GRANADA-CARTUJA,28.0,20.6,20.6,21.6,,,,,,,,,,,,,,,,,,,,,,,,
5516D,-3.386944,2026-04-10T01:00:00+0000,,2856.0,22.0,4.2,269.0,37.063056,307.0,SIERRA NEVADA - RADIOTELESCOPIO,53.0,4.6,4.8,5.0,,2.5,,,,,59.0,,,,,,,,,,,,,,,,,
5530E,-3.789774,2026-04-10T01:00:00+0000,0.0,560.12,5.7,3.8,260.0,37.190293,220.0,GRANADA/AEROPUERTO,62.0,14.8,15.0,16.3,948.2,0.5,13.2,1013.8,7.8,11.6,5.0,0.0,,,,,,,,,,,,,,,,
5582A,-4.152781,2026-04-10T01:00:00+0000,0.0,760.0,6.0,2.3,286.0,37.161109,329.0,LOJA,89.0,13.4,13.4,14.3,,0.8,,,,,21.0,,,,,,,,,,,,,,,,,
5598X,-4.547788,2026-04-10T01:00:00+0000,0.0,465.0,3.3,2.1,48.0,37.230931,45.0,BENAMEJÍ-ALCACHOFARES ALTOS,93.0,12.9,12.9,13.6,,,,,,,,,,,,,,,,,,,,,,,,
5612B,-4.769994,2026-04-10T01:00:00+0000,0.0,410.0,3.2,1.9,242.0,37.194443,245.0,RODA DE ANDALUCÍA,87.0,12.7,12.8,13.2,966.0,0.5,12.6,1014.0,10.6,20.0,9.0,0.0,16.7,,,,,,0.0,,,,,,,,,
5612X,-4.82695,2026-04-10T01:00:00+0000,0.0,450.0,,,,37.270277,,LORA DE ESTEPA (AUTOMATICA),86.0,13.5,13.5,13.8,,,,,,,,,,,,,,,,,,,,,,,,
5624X,-4.685919,2026-04-10T01:00:00+0000,0.0,309.0,2.1,1.1,104.0,37.481945,197.0,AGUILAR (LAGUNA ZOÑAR AUTOMATICA),89.0,12.7,12.7,13.5,,,,,,,,,,,,,,,,,,,,,,,,
5625X,-4.763865,2026-04-10T01:00:00+0000,0.0,200.0,2.2,0.0,288.0,37.638525,170.0,LA RAMBLA   PRIVILEGIO,98.0,12.5,12.5,13.0,,,,,,,,,,,,,,,,,,,,,,,,
5654X,-5.37114,2026-04-10T01:00:00+0000,0.0,200.0,2.1,0.4,154.0,37.786804,180.0,LA PUEBLA DE LOS INFANTES,91.0,12.1,12.1,13.0,,,,,,,,,,,,,,,,,,,,,,,,
5656,-5.433058,2026-04-10T01:00:00+0000,0.0,165.0,4.1,3.1,186.0,37.497222,187.0,FUENTES DE ANDALUCIA  EL TRAVIESO,94.0,13.1,13.1,13.4,,,,,,,,,,,,,,,,,,,,,,,,
5702X,-5.740475,2026-04-10T01:00:00+0000,0.0,50.0,2.7,0.6,258.0,37.565485,225.0,CARMONA  VILLEGAS,86.0,14.2,14.2,15.0,,,,,,,,,,,,,,,,,,,,,,,,
5704B,-5.769728,2026-04-10T01:00:00+0000,0.0,550.0,1.6,0.2,135.0,37.926389,71.0,CAZALLA DE LA SIERRA,93.0,10.8,10.8,12.3,950.2,,,1014.5,9.7,,,,,,,19.0,,,,,,,,,,,,
5726X,-5.81917,2026-04-10T01:00:00+0000,0.0,720.0,1.3,0.2,349.0,38.099445,22.0,GUADALCANAL  CRISTO,84.0,11.9,11.9,12.5,,,,,,,,,,,,,,,,,,,,,,,,
5733X,-6.074995,2026-04-10T01:00:00+0000,0.0,450.0,2.8,1.3,264.0,37.791114,270.0,ALMADEN PLATA (LAS NAVAS AUTOMATICA),85.0,12.9,12.9,13.1,,,,,,,,,,,,,,,,,,,,,,,,
5769X,-6.322225,2026-04-10T01:00:00+0000,0.0,618.0,6.8,3.2,290.0,37.973609,290.0,CALA,78.0,13.3,13.3,13.8,,,,,,,,,,,,,,,,,,,,,,,,
5783,-5.879167,2026-04-10T01:00:00+0000,0.0,34.0,4.1,3.4,180.0,37.416667,170.0,SEVILLA/SAN PABLO,85.0,14.4,14.9,15.2,1010.6,0.1,14.8,1014.3,12.4,,3.0,0.0,,,,,,,,,,,,,,,,
5788X,-6.059722,2026-04-10T01:00:00+0000,0.0,84.0,3.9,0.8,204.0,37.361667,322.0,Tomares  Zaudín,80.0,14.6,14.6,15.7,,,,,,,,,,,,,,,,,,,,,,,,
5790Y,-6.005918,2026-04-10T01:00:00+0000,0.0,9.0,2.3,0.5,214.0,37.364249,165.0,TABLADA,85.0,14.3,14.3,14.9,,,,,,,,,,,,,,,,,,,,,,,,
5796,-5.611474,2026-04-10T01:00:00+0000,0.0,87.0,2.0,1.2,194.0,37.164529,165.0,MORÓN DE LA FRONTERA,89.0,12.8,12.8,13.6,,,,,11.0,,,,,,,42.0,,,,,,,,,,,,
5835X,-6.334168,2026-04-10T01:00:00+0000,0.0,76.0,3.6,0.7,16.0,37.360002,347.0,CARRION DE LOS CESPEDES,91.0,13.2,13.2,13.6,,,,,,,,,,,,,,,,,,,,,,,,
5858X,-6.443024,2026-04-10T01:00:00+0000,0.0,5.0,1.7,0.9,191.0,36.988553,210.0,ALMONTE  DOÑANA ,94.0,11.5,11.5,12.7,,,,,,,,,,,,,,,,,,,,,,,,
5860E,-6.738088,2026-04-10T01:00:00+0000,0.0,41.0,3.4,1.9,49.0,37.097942,28.0,EL ARENOSILLO,85.0,13.8,13.8,14.5,1009.3,,,1014.2,11.3,,,,,,,73.0,,,,,,,,,,,,
5891X,-5.846666,2026-04-10T01:00:00+0000,0.0,105.0,3.7,0.6,110.0,36.953337,137.0,LAS CABEZAS DE SAN JUAN (MAJOLETO AUTOMATICA),87.0,13.5,13.5,13.8,,,,,,,,,,,,,,,,,,,,,,,,
5906X,-6.400558,2026-04-10T01:00:00+0000,0.0,10.0,2.8,1.1,99.0,36.75,140.0,CHIPIONA  ECA,94.0,13.5,13.5,13.7,,,,,,,,,,,,,,,,,,,,,,,,
5910X,-6.332591,2026-04-10T01:00:00+0000,0.0,21.0,,,,36.638879,,ROTA BASE NAVAL,93.0,13.8,13.8,14.2,,,,,,,,,,,,,,,,,,,,,,,,
5911A,-5.37403,2026-04-10T01:00:00+0000,0.0,913.0,2.8,1.3,293.0,36.76044,292.0,GRAZALEMA,95.0,9.6,9.6,10.9,910.0,,,,8.8,,,,,,,31.0,,,,,,,,,776.8,,,
5919X,-5.259446,2026-04-10T01:00:00+0000,0.0,530.0,1.7,0.0,81.0,36.931669,35.0,OLVERA-COOP.AGRÍCOLA,87.0,12.3,12.3,12.7,,,,,,,,,,,,,,,,,,,,,,,,
5941X,-5.512225,2026-04-10T01:00:00+0000,0.0,295.0,1.4,0.7,353.0,36.729446,330.0,EL BOSQUE  SAN JOSÉ,92.0,12.7,12.7,13.4,,,,,,,,,,,,,,,,,,,,,,,,
5950X,-5.783332,2026-04-10T01:00:00+0000,0.0,105.0,1.6,0.2,55.0,36.663888,45.0,SAN JOSE DEL VALLE-PT GUADALCACÍN,92.0,13.4,13.4,13.8,,,,,,,,,,,,,,,,,,,,,,,,
5960,-6.055857,2026-04-10T01:00:00+0000,0.0,27.0,2.6,1.3,230.0,36.750495,210.0,JEREZ DE LA FRONTERA/AEROPUERTO,95.0,11.9,12.1,12.7,1011.3,0.4,14.0,1014.7,11.3,,6.0,0.0,,,,,,,,,,,,,,,,
5972X,-6.205557,2026-04-10T01:00:00+0000,0.0,28.0,2.4,1.0,168.0,36.465556,61.0,SAN FERNANDO,89.0,14.1,14.1,15.3,1011.0,,,1014.4,12.3,,,,,,,32.0,,,,,,,,,,,,
5973,-6.257861,2026-04-10T01:00:00+0000,0.0,2.0,2.1,1.4,220.0,36.499722,225.0,CÁDIZ  OBSERVATORIO,91.0,15.5,15.5,15.8,1013.9,0.3,,1014.6,14.0,,11.0,,,,,,,,,,,,,,,,,
5983X,-5.920278,2026-04-10T01:00:00+0000,0.0,70.0,1.9,0.2,144.0,36.406111,285.0,MEDINA SIDONIA (EL HUNDIDO - AUTOMATICA),93.0,11.5,11.5,12.3,,,,,,,,,,,,,,,,,,,,,,,,
5995B,-5.965005,2026-04-10T01:00:00+0000,0.0,186.0,,,,36.245557,,VEJER DE LA FRONTERA,81.0,13.6,13.6,13.9,991.6,,,1013.7,10.4,,,,,,,0.0,,,,,,,,,,,,
5996B,-5.909444,2026-04-10T01:00:00+0000,0.0,4.0,2.3,1.2,5.0,36.184722,27.0,BARBATE  DEPURADORA,95.0,12.4,12.4,13.2,,,,,,,,,,,,,,,,,,,,,,,,
5998X,-5.112503,2026-04-10T01:00:00+0000,0.0,255.0,2.6,1.2,135.0,37.243336,147.0,OSUNA  SEA,78.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,
6000A,-2.95638,2026-04-10T01:00:00+0000,0.0,52.0,8.4,4.7,238.0,35.276325,255.0,MELILLA,74.0,15.9,15.9,16.2,1007.0,1.1,15.1,1013.7,11.2,,12.0,0.0,18.3,,,,,,0.0,,,,,19.1,,,,
6001,-5.59883,2026-04-10T01:00:00+0000,0.0,32.0,2.7,1.4,339.0,36.013985,347.0,TARIFA,95.0,13.2,13.2,13.8,,,,,,,,,,,,,,,,,,,,,,,,
6032X,-5.168615,2026-04-10T01:00:00+0000,0.0,760.0,4.9,2.0,323.0,36.749997,295.0,RONDA  IES,93.0,11.6,11.6,11.9,,,,,,,,,,,,,,,,,,,,,,,,
6040X,-5.386393,2026-04-10T01:00:00+0000,0.0,315.0,1.0,0.3,5.0,36.544447,317.0,CORTES DE LA FRONTERA,94.0,11.2,11.2,11.4,,,,,,,,,,,,,,,,,,,,,,,,
6042I,-5.394945,2026-04-10T01:00:00+0000,0.0,42.0,2.0,1.0,87.0,36.435607,135.0,JIMENA DE LA FRONTERA-EL DORADO,96.0,11.3,11.3,11.5,,,,,,,,,,,,,,,,,,,,,,,,
6045X,-5.20306,2026-04-10T01:00:00+0000,0.0,676.0,2.1,0.5,58.0,36.632501,127.0,ALPANDEIRE,83.0,11.8,11.8,12.1,,,,,,,,,,,,,,,,,,,,,,,,
