idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,hr,tamin,ta,tamax,pres,stdvv,ts,pres_nmar,tpr,vis,stddv,inso,tss5cm,psoltp,pliqt,rviento,vmaxu,dvu,pacutp,vvu,stdvvu,stddvu,dmaxu,tss20cm,geo925,geo850,nieve,geo700
0370E,2.819442,2026-04-10T00:00:00+0000,0.0,76.0,1.3,0.4,27.0,41.972333,52.0,GIRONA  PARC DEL MIGDIA,63.0,14.5,14.5,15.3,,,,,,,,,,,,,,,,,,,,,,,,
0372C,2.763611,2026-04-10T00:00:00+0000,0.0,157.0,2.4,0.3,320.0,42.104444,311.0,PORQUERES,70.0,12.9,12.9,14.0,,,,,7.6,,,,,,,32.0,,,,,,,,,,,,
0385X,3.201389,2026-04-10T00:00:00+0000,0.0,1.0,5.4,3.5,316.0,42.053888,322.0,L?ESTARTIT,48.0,17.1,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,
0394X,2.471827,2026-04-10T00:00:00+0000,0.0,350.0,1.3,0.3,226.0,42.210555,37.0,VALL DE BIANYA,83.0,10.8,10.8,11.9,,,,,,,,,,,,,,,,,,,,,,,,
0411X,3.093053,2026-04-10T00:00:00+0000,0.0,2.0,3.4,0.9,204.0,42.224834,305.0,CASTELLO D?EMPURIES,84.0,14.1,14.1,15.0,,,,,,,,,,,,,,,,,,,,,,,,
0413A,2.75558,2026-04-10T00:00:00+0000,0.0,355.0,7.7,2.1,297.0,42.386925,325.0,MAÇANET DE CABRENYS,42.0,18.9,20.8,21.0,,,,,,,,,,,,,,,,,,,,,,,,
0421X,3.006114,2026-04-10T00:00:00+0000,0.0,100.0,12.0,5.2,348.0,42.389881,10.0,ESPOLLA  LES ALBERES,37.0,24.0,24.0,24.4,,,,,,,,,,,,,,,,,,,,,,,,
0429X,2.960328,2026-04-10T00:00:00+0000,0.0,45.0,6.8,1.3,222.0,42.259082,340.0,FIGUERES  ELS ASPRES,62.0,17.6,17.6,21.5,,,,,,,,,,,,,,,,,,,,,,,,
0433D,3.315556,2026-04-10T00:00:00+0000,0.0,75.0,,7.3,264.0,42.31904,,EVC_CABO DE CREUS,56.0,23.5,23.5,25.4,1004.0,,,,14.2,,,,,,,332.0,,,,,,,,,,,,
1002Y,-1.542961,2026-04-10T00:00:00+0000,0.0,183.0,0.8,0.2,337.0,43.135722,213.0,BAZTÁN  IRURITA,94.0,8.4,8.4,9.1,,0.2,,,7.4,,45.0,,,,,,,,,,,,,,,,,
